0	37	1
2	1	3
4	9	5
6	79	7
8	103	9
10	26	11
12	127	13
14	28	9
0	28	9
15	82	16
17	148	18
19	17	20
21	37	22
23	38	24
25	60	26
27	23	28
29	19	30
31	26	32
33	6	34
35	10	36
37	14	38
39	94	40
41	53	42
43	6	44
45	54	46
47	78	48
49	1	50
51	16	52
53	120	54
55	47	56
10	46	57
58	63	59
59	122	60
24	16	61
62	60	63
64	81	65
66	71	67
68	9	69
70	16	71
72	34	73
74	54	75
76	148	75
77	128	18
27	23	78
79	16	80
81	38	82
83	88	84
85	128	75
86	26	87
88	82	89
90	9	91
92	28	9
93	40	36
94	19	30
79	26	80
95	71	55
59	122	96
97	41	98
87	26	99
100	148	75
101	9	47
102	7	103
104	6	105
106	1	107
108	139	109
110	122	111
112	81	113
114	71	115
82	38	116
117	139	118
43	12	119
120	9	121
122	39	123
124	102	125
126	31	127
128	2	129
27	23	130
131	100	132
133	106	21
134	54	135
136	0	137
138	2	139
32	26	31
140	75	141
142	9	143
144	26	145
146	127	147
148	91	149
150	16	151
152	153	153
154	110	155
156	0	151
157	12	158
159	1	50
160	108	161
52	26	162
163	2	139
164	92	165
166	7	103
167	46	168
47	148	169
170	19	41
171	54	172
173	37	174
175	101	176
177	18	178
179	34	180
64	26	181
182	167	183
184	70	185
186	43	187
9	61	188
189	22	190
191	16	25
192	115	83
193	12	194
195	128	196
197	170	198
199	31	200
110	122	201
202	92	203
204	14	205
206	41	207
208	26	32
209	16	210
191	54	75
211	28	212
167	9	213
214	24	215
216	37	217
218	16	219
220	139	221
15	82	222
223	25	224
20	18	225
226	14	214
227	128	228
229	9	230
174	12	231
232	72	233
234	57	235
236	24	50
237	9	238
239	115	240
241	1	50
88	82	242
178	54	75
243	65	41
244	0	71
245	106	21
246	31	247
248	102	249
212	104	250
251	38	252
95	71	253
15	82	254
255	87	65
256	7	9
257	7	36
236	43	258
137	46	136
234	57	169
259	16	142
260	92	261
262	17	263
234	57	264
265	140	266
267	26	268
269	26	40
270	46	271
110	122	272
36	41	93
273	29	41
274	21	275
162	16	52
276	9	5
188	158	35
277	46	278
20	18	279
66	18	280
59	122	281
282	37	283
284	139	118
285	1	204
64	16	286
287	84	98
153	68	152
111	170	9
288	93	97
64	16	289
290	128	291
292	92	293
213	106	294
256	47	295
296	42	297
298	37	33
243	170	9
48	9	47
157	6	299
300	46	301
183	128	302
303	9	122
304	26	181
230	0	305
171	54	306
307	12	308
309	78	153
72	30	46
310	10	311
312	7	103
172	3	313
99	9	44
314	60	315
316	176	317
318	37	319
116	2	129
320	47	321
25	37	22
33	6	322
99	16	323
234	57	324
325	37	326
327	57	9
71	26	70
97	41	328
22	17	329
330	29	41
331	68	332
273	46	333
135	41	334
59	57	335
336	1	3
204	14	115
337	37	338
91	47	33
339	54	340
341	26	342
343	120	344
86	26	323
345	54	9
61	37	262
301	69	300
346	16	347
348	1	50
349	68	350
351	28	311
17	7	9
352	9	353
354	19	41
355	109	356
38	1	37
250	104	212
33	17	357
304	16	64
68	9	358
359	128	18
295	134	83
360	1	361
362	130	363
22	17	357
48	128	75
91	49	364
153	54	75
152	19	30
157	12	365
366	16	367
368	17	20
193	142	369
27	23	370
371	23	372
339	26	373
374	0	375
1	12	293
20	18	64
59	122	376
377	2	378
379	79	7
304	26	286
380	171	18
136	1	381
43	12	382
357	71	94
234	57	383
384	139	118
46	42	297
9	138	41
385	9	386
387	26	181
310	10	42
189	22	388
257	7	103
387	26	304
389	79	7
126	31	390
15	82	391
95	71	186
259	46	392
361	14	393
394	1	204
124	102	395
396	31	397
274	125	398
399	40	9
54	2	129
101	9	271
53	120	400
401	54	402
337	9	403
404	9	213
9	104	405
406	63	59
234	57	407
327	57	408
104	6	409
258	9	410
228	84	18
411	128	18
412	39	123
413	114	414
415	37	33
416	78	417
418	7	103
396	31	419
420	148	75
59	57	408
421	12	31
422	1	3
423	2	424
24	37	1
153	46	309
425	123	426
88	82	427
428	4	429
421	12	150
66	11	369
430	173	431
432	22	388
41	88	433
157	6	434
435	2	378
436	54	437
21	60	121
218	26	438
268	26	267
27	23	439
9	84	440
441	16	442
53	120	443
66	18	444
409	7	103
445	34	446
0	46	447
199	31	127
448	16	142
184	70	429
9	41	399
256	7	36
40	152	39
449	1	50
450	34	187
451	31	242
452	54	453
100	78	191
244	72	233
61	29	30
273	26	10
454	12	273
455	16	456
457	128	18
365	37	43
458	130	363
56	17	95
436	128	453
